">>",">>"
"04510 - PAC","04510 - PAC"
"41068 - PAC","41068 - PAC"
"41106 - PAC","41106 - PAC"
"04014 - SEDEX","04014 - SEDEX"
"40010 - SEDEX","40010 - SEDEX"
"40096 - SEDEX","40096 - SEDEX"
"40436 - SEDEX","40436 - SEDEX"
"40444 - SEDEX","40444 - SEDEX"
"04790 - SEDEX 10","04790 - SEDEX 10"
"40215 - SEDEX 10","40215 - SEDEX 10"
"04804 - SEDEX Hoje","04804 - SEDEX Hoje"
"40290 - SEDEX Hoje","40290 - SEDEX Hoje"
"40045 - SEDEX a Cobrar","40045 - SEDEX a Cobrar"
"04782 - SEDEX 12","04782 - SEDEX 12"
"81019 - e-SEDEX","81019 - e-SEDEX"
"Administrative Code","Verwaltungscode"
"Below a list of things that I expect to implement in the next version of EstimateCEP module:","Nachfolgend eine Liste der Dinge, die ich in der nächsten Version dieses Moduls voraussichtlich implementieren werde:<br>
                     - Zeigen Sie den Straßennamen von CEP<br>
                     - Laden Sie dieses Modul in die Warenkorbseite<br>
                     - Zeigen Sie während der Suche ein Ladesymbol an<br>
                     - Fügen Sie eine Cep-Maske (?)<br><br>
                     Wenn Sie eine andere Idee haben, kontaktieren Sie mich bitte unter <a href='https://de.mariosam.eu/kontakt/' target='_blank'>Mario SAM</a>.<br>
                     Wenn Ihnen dieses KOSTENLOSE Modul gefallen hat, können Sie mir auch mit einer Spende in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a> helfen. Dankeschön!"
"Box / Package","Box / Paket"
"Box Position","Box Position"
"Brazil","Brasilien"
"C.E.P. Estimate","C.E.P. Schätzen"
"Countrie","Land"
"CSS id/class name of reference in your theme.","CSS ID/Klassenname der Referenz in Ihrem Thema."
"Custom CSS","Benutzerdefinierte CSS"
"Custom JS","Benutzerdefinierte JS"
"Custom Send Configuration","Benutzerdefinierte Sendekonfiguration"
"day(s)","Tag(e)"
"Delivery Days","Liefertage"
"Diameter of your package","Durchmesser Ihres Pakets"
"e-SEDEX","e-SEDEX"
"Envelope","Briefumschlag"
"Estimate CEP Settings","Schätzen Sie die CEP-Einstellungen"
"Estimate Options","Optionen Schätzen"
"Estimate Shipping:","Versand Schätzen:"
"Expected for the next EstimateCEP versions","Wird für die nächsten Versionen erwartet"
"Format of delivery","Format der Lieferung"
"FREE","KOSTENLOS"
"Height of your package","Höhe Ihres Pakets"
"How many days to delivery this option.","Wie viele Tage bis zur Lieferung dieser Option."
"How to use EstimateCEP? Access the Mario SAM blog and read the post.","Wie benutzt man? Greifen Sie auf den <a href='https://de.mariosam.eu' target='_blank'>Mario SAM-Blog</a> zu und lesen Sie den Beitrag."
"If you have a contract with ETC. ex.: 08082650","Wenn Sie einen Vertrag mit ETC haben. ex.: 08082650"
"Include free shipping in the result list.","Nehmen Sie den kostenlosen Versand in die Ergebnisliste auf."
"Length of your package","Länge Ihres Pakets"
"Mario SAM","Mario SAM"
"Module Enable","Modul Aktivieren"
"My Contact","Mein Kontakt"
"No","Nein"
"PAC","PAC"
"Pass of your contract. ex.: 564321","Pass Ihres Vertrages. ex.: 564321"
"Password","Passwort"
"Please check the CEP, the format looks invalid for us!","Bitte überprüfen Sie die CEP, das Format sieht für uns ungültig aus!"
"Please wait, searching CEP...","Bitte warten Sie und suchen Sie CEP..."
"Product Price","Produktpreis"
"R$","R$"
"R$ 0,00","R$ 0,00"
"Roll / Prism","Rolle / Prisma"
"SEDEX","SEDEX"
"SEDEX 10","SEDEX 10"
"SEDEX 12","SEDEX 12"
"SEDEX to Charger","SEDEX zum Ladegerät"
"SEDEX Today","SEDEX Heute"
"Select the codes that you want to calculate.","Wählen Sie die Codes aus, die Sie berechnen möchten."
"Select your format of delivery.","Wählen Sie Ihr Lieferformat."
"Show FREE option shipping?","Kostenlose Option Versand anzeigen?"
"Sorry! No input, no valid response to you.","Es tut uns leid! Keine Eingabe, keine gültige Antwort an Sie."
"When the price of product greater than.","Wenn der Preis des Produkts größer als."
"Width of your package","Breite Ihres Pakets"
"Which countrie do you like to Estimate CEP?","In welchem Land schätzen Sie die CEP?"
"Wrong XML: Error in simplexml_load_string.","Falsches XML: Fehler in simplexml_load_string."
"Value in centimeter. ex.: 2","Wert in Zentimeter. ex.: 2"
"Value in centimeter. ex.: 5","Wert in Zentimeter. ex.: 5"
"Value in centimeter. ex.: 11","Wert in Zentimeter. ex.: 11"
"Value in centimeter. ex.: 18","Wert in Zentimeter. ex.: 18"
"Yes","Ja"
"You can add personal css script.","Sie können ein persönliches CSS-Skript hinzufügen."
"You can add personal javascript code.","Sie können persönlichen Javascript-Code hinzufügen."
"You can talk with me and/or hire me!","Sie können mit mir sprechen und/oder mich einstellen!"
