">>",">>"
"04510 - PAC","04510 - PAC"
"41068 - PAC","41068 - PAC"
"41106 - PAC","41106 - PAC"
"04014 - SEDEX","04014 - SEDEX"
"40010 - SEDEX","40010 - SEDEX"
"40096 - SEDEX","40096 - SEDEX"
"40436 - SEDEX","40436 - SEDEX"
"40444 - SEDEX","40444 - SEDEX"
"04790 - SEDEX 10","04790 - SEDEX 10"
"40215 - SEDEX 10","40215 - SEDEX 10"
"04804 - SEDEX Hoje","04804 - SEDEX Hoje"
"40290 - SEDEX Hoje","40290 - SEDEX Hoje"
"40045 - SEDEX a Cobrar","40045 - SEDEX a Cobrar"
"04782 - SEDEX 12","04782 - SEDEX 12"
"81019 - e-SEDEX","81019 - e-SEDEX"
"Administrative Code","Código Administrativo"
"Below a list of things that I expect to implement in the next version of EstimateCEP module:","A continuación, se muestra una lista de cosas que espero implementar en la próxima versión de este módulo:<br>
                     - mostrar el nombre de la calle por CEP<br>
                     - cargue este módulo en la página del carrito de compras<br>
                     - muestra un icono de carga mientras buscas<br>
                     - inserte una máscara de cep (?)<br><br>
                     Si tiene alguna otra idea, comuníquese conmigo en <a href='https://es.mariosam.eu/contacto/' target='_blank'>Mario SAM</a>.<br>
                     Si te encantó este módulo GRATUITO, también puedes ayudarme con una donación en <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. ¡Gracias!"
"Box / Package","Caja / Paquete"
"Box Position","Posición de la Caja"
"Brazil","Brasil"
"C.E.P. Estimate","C.E.P. Estimar"
"Countrie","País"
"CSS id/class name of reference in your theme.","CSS id/clase de referencia en su tema."
"Custom CSS","CSS Personalizado"
"Custom JS","JS Personalizado"
"Custom Send Configuration","Configuración de Envío Personalizada"
"day(s)","día(s)"
"Delivery Days","Días de Entrega"
"Diameter of your package","Diámetro de su paquete"
"e-SEDEX","e-SEDEX"
"Envelope","Sobre"
"Estimate CEP Settings","Configuración de Estimar la CEP"
"Estimate Options","Opciones de Estimación"
"Estimate Shipping:","Fecha de entrega estimada:"
"Expected for the next EstimateCEP versions","Esperado para las próximas versiones"
"Format of delivery","Formato de entrega"
"FREE","GRATIS"
"Height of your package","Altura de su paquete"
"How many days to delivery this option.","Cuántos días para entregar esta opción."
"How to use EstimateCEP? Access the Mario SAM blog and read the post.","¿Cómo utilizar? Accede al blog de <a href='https://es.mariosam.eu' target='_blank'>Mario SAM</a> y lee la publicación."
"If you have a contract with ETC. ex.: 08082650","Si tiene un contrato con ETC. ej.: 08082650"
"Include free shipping in the result list.","Incluir envío gratuito en la lista de resultados."
"Length of your package","Longitud de su paquete"
"Mario SAM","Mario SAM"
"Module Enable","Activar Módulo"
"My Contact","Mi Contacto"
"No","No"
"PAC","PAC"
"Pass of your contract. ex.: 564321","Pase de su contrato. ej.: 564321"
"Password","Contraseña"
"Please check the CEP, the format looks invalid for us!","Por favor verifique el CEP, ¡el formato parece no válido para nosotros!"
"Please wait, searching CEP...","Espere, buscando CEP..."
"Product Price","Precio del Producto"
"R$","R$"
"R$ 0,00","R$ 0,00"
"Roll / Prism","Rollo / Prisma"
"SEDEX","SEDEX"
"SEDEX 10","SEDEX 10"
"SEDEX 12","SEDEX 12"
"SEDEX to Charger","SEDEX al Cargador"
"SEDEX Today","SEDEX Hoy"
"Select the codes that you want to calculate.","Seleccione los códigos que desea calcular."
"Select your format of delivery.","Seleccione su formato de envío."
"Show FREE option shipping?","¿Mostrar opción de envío GRATIS?"
"Sorry! No input, no valid response to you.","¡Lo siento! Sin entrada, sin respuesta válida para ti."
"When the price of product greater than.","Cuando el precio del producto es superior a."
"Width of your package","Ancho de su paquete"
"Which countrie do you like to Estimate CEP?","¿Qué país le gustaría estimar el CEP?"
"Wrong XML: Error in simplexml_load_string.","XML incorrecto: Error en simplexml_load_string."
"Value in centimeter. ex.: 2","Valor en centímetro. ej.: 2"
"Value in centimeter. ex.: 5","Valor en centímetro. ej.: 5"
"Value in centimeter. ex.: 11","Valor en centímetro. ej.: 11"
"Value in centimeter. ex.: 18","Valor en centímetro. ej.: 18"
"Yes","Si"
"You can add personal css script.","Puede agregar un script CSS personal."
"You can add personal javascript code.","Puede agregar código javascript personal."
"You can talk with me and/or hire me!","¡Puedes hablar conmigo y/o contratarme!"
