">>",">>"
"04510 - PAC","04510 - PAC"
"41068 - PAC","41068 - PAC"
"41106 - PAC","41106 - PAC"
"04014 - SEDEX","04014 - SEDEX"
"40010 - SEDEX","40010 - SEDEX"
"40096 - SEDEX","40096 - SEDEX"
"40436 - SEDEX","40436 - SEDEX"
"40444 - SEDEX","40444 - SEDEX"
"04790 - SEDEX 10","04790 - SEDEX 10"
"40215 - SEDEX 10","40215 - SEDEX 10"
"04804 - SEDEX Hoje","04804 - SEDEX Hoje"
"40290 - SEDEX Hoje","40290 - SEDEX Hoje"
"40045 - SEDEX a Cobrar","40045 - SEDEX a Cobrar"
"04782 - SEDEX 12","04782 - SEDEX 12"
"81019 - e-SEDEX","81019 - e-SEDEX"
"Administrative Code","Codice Amministrativo"
"Below a list of things that I expect to implement in the next version of EstimateCEP module:","Di seguito un elenco di cose che mi aspetto di implementare nella prossima versione di questo modulo:<br>
                     - mostrare il nome della via di CEP<br>
                     - carica questo modulo nella pagina del carrello<br>
                     - mostra un'icona di caricamento durante la ricerca<br>
                     - inserire una maschera da porcini (?)<br><br>
                     Se hai altre idee, contattami su <a href='https://it.mariosam.eu/contatto/' target='_blank'>Mario SAM</a>.<br>
                     Se ti è piaciuto questo modulo GRATUITO, puoi anche aiutarmi con una donazione in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. Grazie!"
"Box / Package","Scatola / Pacchetto"
"Box Position","Posizione Scatola"
"Brazil","Brasile"
"C.E.P. Estimate","C.E.P. Stima"
"Countrie","Paesi"
"CSS id/class name of reference in your theme.","CSS id/classe nome della di riferimento nel tema."
"Custom CSS","CSS Personalizzato"
"Custom JS","JS Personalizzato"
"Custom Send Configuration","Configurazione di Invio Personalizzata"
"day(s)","giorno(i)"
"Delivery Days","Giorni di Consegna"
"Diameter of your package","Diametro del tuo pacco"
"e-SEDEX","e-SEDEX"
"Envelope","Busta"
"Estimate CEP Settings","Stima delle Impostazioni CEP"
"Estimate Options","Opzioni di Stima"
"Estimate Shipping:","Previsione di Spedizione:"
"Expected for the next EstimateCEP versions","Previsto per le prossime versioni"
"Format of delivery","Formato di consegna"
"FREE","GRATUITA"
"Height of your package","Altezza del Pacco"
"How many days to delivery this option.","Quanti giorni per la consegna di questa opzione."
"How to use EstimateCEP? Access the Mario SAM blog and read the post.","Come usare? Accedi al blog di <a href='https://it.mariosam.eu' target='_blank'>Mario SAM</a> e leggi il post."
"If you have a contract with ETC. ex.: 08082650","Se hai un contratto con ETC. ex.: 08082650"
"Include free shipping in the result list.","Includi la spedizione gratuita nell'elenco dei risultati."
"Length of your package","Lunghezza del pacco"
"Mario SAM","Mario SAM"
"Module Enable","Abilita Modulo"
"My Contact","Il Mio Contatto"
"No","No"
"PAC","PAC"
"Pass of your contract. ex.: 564321","Approvazione del tuo contratto. ex.: 564321"
"Password","Parola d'ordine"
"Please check the CEP, the format looks invalid for us!","Si prega di controllare il CEP, il formato non sembra valido per noi!"
"Please wait, searching CEP...","Attendi, ricerca CEP..."
"Product Price","Prezzo del Prodotto"
"R$","R$"
"R$ 0,00","R$ 0,00"
"Roll / Prism","Roll / Prisma"
"SEDEX","SEDEX"
"SEDEX 10","SEDEX 10"
"SEDEX 12","SEDEX 12"
"SEDEX to Charger","SEDEX al Caricatore"
"SEDEX Today","SEDEX Oggi"
"Select the codes that you want to calculate.","Seleziona i codici che vuoi calcolare."
"Select your format of delivery.","Seleziona il tuo formato di consegna."
"Show FREE option shipping?","Mostra l'opzione di spedizione GRATUITA?"
"Sorry! No input, no valid response to you.","Scusate! Nessun input, nessuna risposta valida per te."
"When the price of product greater than.","Quando il prezzo del prodotto maggiore di."
"Width of your package","Larghezza del pacco"
"Which countrie do you like to Estimate CEP?","Quale paese ti piace stimare il CEP?"
"Wrong XML: Error in simplexml_load_string.","XML Errato: Errore in simplexml_load_string."
"Value in centimeter. ex.: 2","Valore in centimetri. ex.: 2"
"Value in centimeter. ex.: 5","Valore in centimetri. ex.: 5"
"Value in centimeter. ex.: 11","Valore in centimetri. ex.: 11"
"Value in centimeter. ex.: 18","Valore in centimetri. ex.: 18"
"Yes","Sì"
"You can add personal css script.","Puoi aggiungere uno script CSS personale."
"You can add personal javascript code.","Puoi aggiungere codice javascript personale."
"You can talk with me and/or hire me!","Puoi parlare con me e/o assumermi!"
