">>",">>"
"04510 - PAC","04510 - PAC"
"41068 - PAC","41068 - PAC"
"41106 - PAC","41106 - PAC"
"04014 - SEDEX","04014 - SEDEX"
"40010 - SEDEX","40010 - SEDEX"
"40096 - SEDEX","40096 - SEDEX"
"40436 - SEDEX","40436 - SEDEX"
"40444 - SEDEX","40444 - SEDEX"
"04790 - SEDEX 10","04790 - SEDEX 10"
"40215 - SEDEX 10","40215 - SEDEX 10"
"04804 - SEDEX Hoje","04804 - SEDEX Hoje"
"40290 - SEDEX Hoje","40290 - SEDEX Hoje"
"40045 - SEDEX a Cobrar","40045 - SEDEX a Cobrar"
"04782 - SEDEX 12","04782 - SEDEX 12"
"81019 - e-SEDEX","81019 - e-SEDEX"
"Administrative Code","Código Administrativo"
"Below a list of things that I expect to implement in the next version of EstimateCEP module:","Abaixo uma lista de coisas que eu espero implementar nas próximas versões deste módulo:<br>
                    - exibir o nome da rua do CEP informado<br>
                    - incluir esta função na página de carrinho de compras<br>
                    - exibir um ícone de carregando enquanto faz a busca<br>
                    - inserir máscara de CEP no campo (?)<br><br>
                    Se você tem outras idéias ou sugestões, entre em contato <a href='https://mariosam.com.br/contato/' target='_blank'>Mario SAM</a>.<br>
                    Se você adorou este módulo gratuito, pode me recompensar com uma doação no <a href='https://www.padrim.com.br/mariosam' target='_blank'>Padrim</a>. Obrigado!"
"Box / Package","Caixa / Pacote"
"Box Position","Posição do Campo"
"Brazil","Brasil"
"C.E.P. Estimate","C.E.P. Frete"
"Countrie","País"
"CSS id/class name of reference in your theme.","Informe o id/class do CSS de referência do seu tema."
"Custom CSS","CSS Customizado"
"Custom JS","JS Customizado"
"Custom Send Configuration","Configuração Personalizada de Envio"
"day(s)","dia(s)"
"Delivery Days","Dias para Entrega"
"Diameter of your package","Diametro do pacote"
"e-SEDEX","e-SEDEX"
"Envelope","Envelope"
"Estimate CEP Settings","Configurações de Frete - CEP"
"Estimate Options","Opções de Consulta"
"Estimate Shipping:","Consultar CEP:"
"Expected for the next EstimateCEP versions","Previsão de atualizações futuras"
"Format of delivery","Forma de envio"
"FREE","Grátis"
"Height of your package","Peso do pacote"
"How many days to delivery this option.","Quantos dias para enviar por esta opção."
"How to use EstimateCEP? Access the Mario SAM blog and read the post.","Como usar? Acesse o blog <a href='https://mariosam.com.br' target='_blank'>Mario SAM</a> e leia o artigo."
"If you have a contract with ETC. ex.: 08082650","Se você possui um contrato com a ETC. ex.: 08082650"
"Include free shipping in the result list.","Incluir a opção de frete grátis na lista de resultados."
"Length of your package","Largura do pacote"
"Mario SAM","Mario SAM"
"Module Enable","Habilitar Módulo"
"My Contact","Meu Contato"
"No","Não"
"PAC","PAC"
"Pass of your contract. ex.: 564321","Senha do seu contrato. ex.: 564321"
"Password","Senha"
"Please check the CEP, the format looks invalid for us!","CEP informado parece inválido, verifique!"
"Please wait, searching CEP...","Aguarde, buscando CEP..."
"Product Price","Preço do Produto"
"R$","R$"
"R$ 0,00","R$ 0,00"
"Roll / Prism","Rolo / Prisma"
"SEDEX","SEDEX"
"SEDEX 10","SEDEX 10"
"SEDEX 12","SEDEX 12"
"SEDEX to Charger","SEDEX à Cobrar"
"SEDEX Today","SEDEX Hoje"
"Select the codes that you want to calculate.","Selecione todos os códigos que deseja consultar."
"Select your format of delivery.","Selecione seu formato de envio."
"Show FREE option shipping?","Exibir opção de frete grátis?"
"Sorry! No input, no valid response to you.","Ops! Sem cep, sem valores para exibir."
"When the price of product greater than.","Quando o preço do produto for maior que."
"Width of your package","Largura do pacote"
"Which countrie do you like to Estimate CEP?","Calcular o CEP para qual país?"
"Wrong XML: Error in simplexml_load_string.","Falha no XML: Erro ao executar simplexml_load_string."
"Value in centimeter. ex.: 2","Valor em centímetros. ex.: 2"
"Value in centimeter. ex.: 5","Valor em centímetros. ex.: 5"
"Value in centimeter. ex.: 11","Valor em centímetros. ex.: 11"
"Value in centimeter. ex.: 18","Valor em centímetros. ex.: 18"
"Yes","Sim"
"You can add personal css script.","Você pode adicionar um script css customizado."
"You can add personal javascript code.","Você pode adicionar um script js customizado."
"You can talk with me and/or hire me!","Você pode falar comigo e/ou me contratar!"
